PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Passenger_1, Mr/Mrs. John",male,,1,0,A/5 16749,30.64766764199713,,S
2,0,3,"Passenger_2, Mr/Mrs. John",male,13.0,2,0,A/5 56531,21.103279628338083,,S
3,1,2,"Passenger_3, Mr/Mrs. John",female,,0,0,A/5 30608,15.834576922916895,,Q
4,0,3,"Passenger_4, Mr/Mrs. John",female,,0,2,A/5 90986,76.72266538665829,,S
5,1,1,"Passenger_5, Mr/Mrs. John",male,44.0,0,0,A/5 79211,0.9458016250704478,,C
6,0,2,"Passenger_6, Mr/Mrs. John",male,,1,2,A/5 93996,46.90573118011171,,S
7,1,3,"Passenger_7, Mr/Mrs. John",male,13.0,1,1,A/5 66017,74.29969563250063,,S
8,0,1,"Passenger_8, Mr/Mrs. John",male,24.0,0,0,A/5 67676,18.919386630937797,,C
9,1,1,"Passenger_9, Mr/Mrs. John",male,14.0,0,0,A/5 21560,25.601385604624852,,Q
10,1,1,"Passenger_10, Mr/Mrs. John",female,25.0,1,0,A/5 64401,92.502982392861,D146,Q
11,1,1,"Passenger_11, Mr/Mrs. John",male,17.0,0,0,A/5 60468,7.635501693162346,E7,C
12,0,1,"Passenger_12, Mr/Mrs. John",female,24.0,0,0,A/5 42463,23.496004717887864,,Q
13,1,3,"Passenger_13, Mr/Mrs. John",male,25.0,0,0,A/5 41663,20.602431071924148,,S
14,0,2,"Passenger_14, Mr/Mrs. John",male,60.0,0,0,A/5 78706,9.565931228951305,,S
15,0,3,"Passenger_15, Mr/Mrs. John",female,65.0,1,0,A/5 68773,54.62442954292244,,S
16,0,3,"Passenger_16, Mr/Mrs. John",male,28.0,2,0,A/5 43123,73.55516786171734,,S
17,0,2,"Passenger_17, Mr/Mrs. John",male,58.0,0,0,A/5 19718,48.73443190334951,,S
18,0,2,"Passenger_18, Mr/Mrs. John",male,53.0,0,1,A/5 72637,6.955488483535362,,S
19,1,2,"Passenger_19, Mr/Mrs. John",female,,0,0,A/5 10028,2.903811814238325,,S
20,1,3,"Passenger_20, Mr/Mrs. John",female,34.0,0,0,A/5 72370,29.75985366198753,A4,Q
21,0,2,"Passenger_21, Mr/Mrs. John",male,,0,0,A/5 57599,1.8812636717937197,,C
22,0,3,"Passenger_22, Mr/Mrs. John",male,25.0,0,0,A/5 27397,35.75240956460333,,S
23,0,2,"Passenger_23, Mr/Mrs. John",male,58.0,0,0,A/5 55406,24.18961882574136,,S
24,0,3,"Passenger_24, Mr/Mrs. John",female,57.0,0,0,A/5 57657,34.78517576920539,E173,S
25,1,2,"Passenger_25, Mr/Mrs. John",female,16.0,0,0,A/5 77560,28.54447126879127,G87,S
26,1,2,"Passenger_26, Mr/Mrs. John",male,77.0,0,0,A/5 23503,17.58072537165783,,S
27,0,3,"Passenger_27, Mr/Mrs. John",male,51.0,0,2,A/5 64943,7.175700097861665,,S
28,0,3,"Passenger_28, Mr/Mrs. John",male,,0,2,A/5 85839,11.675334765907055,,S
29,1,1,"Passenger_29, Mr/Mrs. John",female,72.0,3,0,A/5 92674,23.78846734746584,,S
30,0,3,"Passenger_30, Mr/Mrs. John",female,59.0,0,0,A/5 35345,33.76556255306033,,S
31,0,3,"Passenger_31, Mr/Mrs. John",male,67.0,0,0,A/5 60390,48.37697811613928,,C
32,1,3,"Passenger_32, Mr/Mrs. John",male,29.0,1,0,A/5 69557,46.63839331764772,,C
33,0,3,"Passenger_33, Mr/Mrs. John",male,28.0,5,0,A/5 75054,115.21460246460991,,C
34,1,2,"Passenger_34, Mr/Mrs. John",female,44.0,0,0,A/5 11906,10.772808979163985,,S
35,0,1,"Passenger_35, Mr/Mrs. John",male,,1,2,A/5 50167,2.360502927942009,,S
36,1,2,"Passenger_36, Mr/Mrs. John",female,9.0,0,0,A/5 17961,13.571952053394131,,C
37,1,3,"Passenger_37, Mr/Mrs. John",male,56.0,0,0,A/5 36140,43.51442140898395,,C
38,1,3,"Passenger_38, Mr/Mrs. John",male,50.0,0,0,A/5 68701,18.44646771662216,,S
