PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Has_Cabin,FamilySize,IsAlone,AgeGroup,FareGroup,Title
1,0,3,"Passenger_1, Mr/Mrs. John",male,41.0,1,0,A/5 16749,30.64766764199713,S,0,2,0,Middle-aged,High,Rare
2,0,3,"Passenger_2, Mr/Mrs. John",male,13.0,2,0,A/5 56531,21.103279628338083,S,0,3,0,Teenager,Medium,Rare
3,1,2,"Passenger_3, Mr/Mrs. John",female,41.0,0,0,A/5 30608,15.834576922916895,Q,0,1,1,Middle-aged,Medium,Rare
4,0,3,"Passenger_4, Mr/Mrs. John",female,41.0,0,2,A/5 90986,76.72266538665829,S,0,3,0,Middle-aged,Very High,Rare
5,1,1,"Passenger_5, Mr/Mrs. John",male,44.0,0,0,A/5 79211,0.9458016250704478,C,0,1,1,Middle-aged,Low,Rare
6,0,2,"Passenger_6, Mr/Mrs. John",male,41.0,1,2,A/5 93996,46.90573118011171,S,0,4,0,Middle-aged,Very High,Rare
7,1,3,"Passenger_7, Mr/Mrs. John",male,13.0,1,1,A/5 66017,74.29969563250063,S,0,3,0,Teenager,Very High,Rare
8,0,1,"Passenger_8, Mr/Mrs. John",male,24.0,0,0,A/5 67676,18.9193866309378,C,0,1,1,Adult,Medium,Rare
9,1,1,"Passenger_9, Mr/Mrs. John",male,14.0,0,0,A/5 21560,25.60138560462485,Q,0,1,1,Teenager,High,Rare
10,1,1,"Passenger_10, Mr/Mrs. John",female,25.0,1,0,A/5 64401,92.502982392861,Q,1,2,0,Adult,Very High,Rare
11,1,1,"Passenger_11, Mr/Mrs. John",male,17.0,0,0,A/5 60468,7.635501693162346,C,1,1,1,Teenager,Low,Rare
12,0,1,"Passenger_12, Mr/Mrs. John",female,24.0,0,0,A/5 42463,23.496004717887864,Q,0,1,1,Adult,High,Rare
13,1,3,"Passenger_13, Mr/Mrs. John",male,25.0,0,0,A/5 41663,20.602431071924148,S,0,1,1,Adult,Medium,Rare
14,0,2,"Passenger_14, Mr/Mrs. John",male,60.0,0,0,A/5 78706,9.565931228951303,S,0,1,1,Middle-aged,Low,Rare
