,count,unique,top,freq,mean,std,min,25%,50%,75%,max
PassengerId,891.0,,,,446.0,257.3538420152301,1.0,223.5,446.0,668.5,891.0
Survived,891.0,,,,0.3658810325476992,0.48194687500307,0.0,0.0,0.0,1.0,1.0
Pclass,891.0,,,,2.308641975308642,0.8454261984748015,1.0,1.5,3.0,3.0,3.0
Name,891,891,"Passenger_1, Mr/Mrs. John",1,,,,,,,
Sex,891,2,male,577,,,,,,,
Age,891.0,,,,40.65768799102133,20.24225735838805,1.0,25.0,41.0,56.0,79.0
SibSp,891.0,,,,0.4298540965207632,0.787804430924887,0.0,0.0,0.0,1.0,5.0
Parch,891.0,,,,0.4051627384960718,0.8577054910874017,0.0,0.0,0.0,0.0,5.0
Ticket,891,889,A/5 46901,2,,,,,,,
Fare,891.0,,,,31.292329694578005,31.16858858566781,0.0933108841851016,9.72317152510164,22.707831158016862,44.744986132601916,265.6103357655124
Embarked,891,3,S,658,,,,,,,
Has_Cabin,891.0,,,,0.244668911335578,0.4301321685156314,0.0,0.0,0.0,0.0,1.0
FamilySize,891.0,,,,1.835016835016835,1.1291577226577394,1.0,1.0,1.0,2.0,8.0
IsAlone,891.0,,,,0.5185185185185185,0.4999375741304765,0.0,0.0,1.0,1.0,1.0
AgeGroup,891,5,Middle-aged,418,,,,,,,
FareGroup,891,4,Low,223,,,,,,,
Title,891,1,Rare,891,,,,,,,
